Mineral_Name,LOCALITY,Type,Note
Domerockite,"Dome Rock Copper Mine, Boolcoomatta Reserve (Boolcoomata Station; Boolcoomatta), Olary Province, South Australia",1,For the mine that produced the first specimens.
Donbassite,DONets BASin,2,Donbas/Donbass
Dorallcharite,Allchar,1,
Dornbergite,Dörnberg mine,1,"Named for the locality (Dörnberg mine, Ramsbeck, Sauerland, Germany)."
Douglasite,"Douglashall, Westeregeln, Egeln, Stassfurt Potash deposit, Saxony-Anhalt",1,
Dovyrenite,"Dovyren Bald Mountain, Yoko-Dovyren layered massif, Northern Baikal Region",1,
Dravite,Drava (Drave) River,3,For the district along the Drava (Drave) River
Droninoite,"Dronino meteorite, Kasimov District, Ryazanskaya Oblast', North-Western Region",1,
Dryhead Agate,Dryhead Creek,1,Named after Dryhead Creek along the Montana/ Wyoming border
Ducktownite,Ducktown mine,1,
Dundasite,Dundas,1,For the occurrence at Tasmania
Dunite,Dun Mountain,1,
Duporthite,Duporth,3,"Named after Duporth, a town in Cornwall, England"
Durangite,Durango,2,For the original occurrence
Duranusite,Duranus,2,
Duxite,Dux,3,"It is named after the small Czech town Duchcov (German: Dux) in northern Bohemia, where it was found in the lignite mining Emeran"
Dypingite,Dypingdal,1,For the first-noted occurrence
Dyrnaesite-(La),Dyrnas,1,"For the base camp area, Dyrnas (animal headland), north of  Narsaq, Kujalleq Kommune, South Greenland, with the suffix for the dominant REE"
Dzhalindite,Dzhalinda tin deposit,1,For the occurrence
Dzharkenite,Dzharkenskaya depression,1,"For the depression, within which the Seluchekinskoye deposit occurs"
Dzhezkazganite,Dzhezkazgan Mine,1,"Originally described from Dzhezkazgan Mine (Zhezkazgan Mine), Dzhezkazgan, Zhezqazghan Oblysy (Dzezkazgan Oblast'; Dzhezkazgan Oblast'; Djezkazgan Oblast'; Jezkazgan Oblast'), Kazakhstan"
Dzhuluite,Dzhulu Mountain,1,For the location near the site from which the first specimens were collected
Eastonite,Easton,1,
Eastonite (of Hamilton),Easton,1,
Eastonite (of Winchell),Easton,1,
Écrinsite,Parc National des Écrins,1,
Eden Valley Wood,Eden Valley,1,From the Eden Valley (Sweetwater Co.) in Wyoming
Edenite,Edenville,3,"For the locality at New York, although it is not certain to occur there"
Egyptian Jasper,Egypt,4,"A brown variety jasper (brown alternating with black stripes - Egypt) or red (blood-red, flesh red, yellow, brown - found in Baden), originally described from Egypt."
Ehimeite,Ehime Prefecture,1,
Eichbergite,Eichberg Mt.,1,"Originally reported from Eichberg Mt., Gloggnitz, Lower Austria, Austria"
Eifelite,Eifel district,2,
Eilat Stone,Eilat,3,"Named for the locality Eilat, Israel"
El Doradoite,El Dorado Co.,3,
Elbaite,Elba Island,1,
Elbrusite,Mount Elbrus,1,The mineral was first found in the Elbrus-Kyugen volcanic area.
Elbrussite,Mount Elbrus,1,The mineral was first found in the Elbrus-Kyugen volcanic area.
Eldfellite,Eldfell volcano,1,For the first locality
Eldragónite,El Dragón mine,1,For the locality that provided the first specimens
Eleonorite,Eleonore Mine,1,For the mine that produced the first specimens
Eliasite,Elias mine,1,"Named for the Elias mine, Jáchymov (St Joachimsthal)"
Elpasolite,El Paso County,3,"For the county at Colorado, where the mineral was found"
Elsmoreite,Elsmore,1,"For the locality that produced the first specimens. Elsmore Tin Mine (Elsmore Tin lodes), Elsmore, Gough Co., New South Wales"
Eltyubyuite,Eltyubyu,3,"For the historically famous Balkarian village, which is located near the site from which the first specimens were collected"
Emery,Cape Emeri,1,"Named after the locality where it was discovered: Cape Emeri, Island of Naxos, Greece"
Empressite,Empress Josephine mine,1,
Enalite,Ena-gun,2,"Named for the discovery locality at Fukuoka, Fukuoka-cho, Ena-gun, Gifu Prefecture, Chubu Region, Honshu Island, Japan."
Eosphorite,Ephesus,3,
Ephesite,Ephesus,3,
Epsomite,Epsom,3,
Eringaite,Eringa River,1,The tributary of the Wiluy River directly across from where the first specimens were collected
Erlianite,Erlian,3,
Errite,Err,1,"Named after the original locality, the Val d'Err (Err valley)"
Ertixiite,Ertixi River,1,
Erzwiesite,"Unnamed prospect in the Erzwies mining district, Gastein Valley, Salzburg Province",1,
Eskebornite,Eskeborn adit,1,"For the adit, where first discovered"
Eskimoite,Eskimos,1,For early settlers of Greenland
Esperanzaite,La Esperanza mine,1,For the mine from which the mineral was collected
Esquireite,Esquire #1,1,"Named for the place, where the first specimens were collected"
Ettringite,Ettringen,2,
Eurekadumpite,Centennial Eureka mine,1,Reflects the fact that the first samples were found on the dumps
Evenkite,Evenkia district,2,
Eveslogite,Mt. Eveslogchorr,1,
Fairburn Agate,Fairburn,3,"A unique and rare variety of Fortification Agate from Fairburn, Custer Co., South Dakota, USA."
Falottaite,"Falotta mine, Oberhalbstein, Canton Grisons",1,
Famatinite,Sierra de Famatina,1,
Farallonite,Farallon mine,1,"After the type locality, the Farellon (or Farallon) mine."
Fargite,Glen Farg,3,
Farneseite,Farnese,2,For the locality that produced the first specimens
Fassaite,Fassa Valley,3,For the locality
Fayalite,Faial (Fayal),1,"After Island in the Azores, thought to occur in a local volcanic rock, but probably obtained from slag carried as ship's ballast"
Felbertalite,The valley of Felbertal,3,
Felsőbányaite,"Felsőbánya, Hungary",1,"Now Baia Sprie, Romania"
Fengchengite,Fencheng city,3,
Fianelite,Fianel mine,1,
Fichtelite,Fichtelgebirge,3,
Fiemmeite,Fiemme Valley,3,For the type locality.
Filipstadite,Filipstad,3,
Fiorite,Santa Fiora,3,"It was named after Santa Fiora, in Italy"
Flagstaffite,Flagstaff,3,
Fletcherite,Fletcher mine,1,
Fluor-uvite,Uva Province,2,
Fogoite-(Y),Lagoa do Fogo / Fogo volcano,1,
Footemineite,"Foote Mine, North Carolina",1,
Fougèrite,"Fougères Forest, Ille-et-Vilaine, Brittany",1,
Francevillite,Franceville,3,
Franciscanite,Franciscan complex of California,2,
Francolite,Wheal Franco,1,"Named after its occurrence at Wheal Franco, Whitchurch, Tavistock District, Devon, England, UK"
Franconite,"Francon quarry, Montreal",1,
Franklinfurnaceite,Franklin Furnace,3,"Franklin, New Jersey, USA."
Franklinite,Franklin Furnace,3,"Franklin, New Jersey, USA."
Franklinphilite,"Franklin, New Jersey",3,
Freibergite,Freiberg,3,For the long-known occurrence of silver-rich tetrahedrite at Freiberg.
Freirinite,Freirina,3,"Named for its supposed type locality, Freirina, in Atacama Province, Chile"
Fresnoite,"Fresno Co., California",3,Fresno County that includes the type locality
Frigidite,Frigido Mine,1,"Named for the Frigido Mine, Massa, Apuan Alps, Massa-Carrara Province, Tuscany, Italy."
Fringelite,Fringeli,3,"The name « fringelite » comes from the Swiss village of Fringeli, where these fossils were discovered"
Frolovite,NovoFROLOVskoye deposit.,1,For the first-noted occurrence
Froodite,Frood mine,1,
Frugardite,Frugård,1,"Originally described from Frugård, Mäntsälä, Etelä-Suomen Lääni, Finland."
Fukalite,Fuka Mine,1,
Furongite,Hunan Province,2,From a poetic name for Hunan Province.
Furutobeite,Furutobe mine,1,
Galaxite,Galax,3,"For the town, Virginia, USA, close to Bald Knob, North Carolina, and for the plant, galax, after which the town is named."
Galgenbergite-(Ce),Galgenberg railroad tunnel,1,"For the locality, that produced the first specimens"
Galkhaite,Gal-Khaya deposit,1,
Gamagarite,Gamagara Ridge,1,"For the original occurrence on Gamagara Ridge, South Africa."
Gananite,Ganan area,3,"Presumably for its occurrence in the Ganan area, China. For Gannan, a Chinese name for southwestern Jiangxi Province, where the mineral was discovered."
Ganterite,Gantertal,3,For a valley in the Simplon region that produced the first specimens.
Gaoshan Stone,Gaoshan,1,"Named for its occurrence at Mount Gao (Gaoshan) near Shoushan, Fuzhou City, Fujian Province, China."
Gaotaiite,Gaotai village,3,"For Gaotai village, China, near which the mineral was found."
Garronite,Garron Plateau,1,
Gaspéite,Gaspe Peninsula,1,
Gatewayite,Gateway mining district,1,For the mining district in which the Packrat mine is located. Gateway is also the nearest town to the Packrat mine.
Gatumbaite,Gatumba,3,
Gedanite,Gedanum,3,"From Gedanum Danzig, city in northern Poland"
Gedrite,Gèdres,2,
Geneveite,Genève,3,Named after the city of Genève
Gengenbachite,Gengenbach,3,
Georgiaite,Georgia,2,
German diamond,German,4,Derived from the locality of occurrence
German lapis,German,4,Derived from the locality of occurrence
Geschieberite,Geschieber vein,1,For the the locality that produced the first specimens.
Getchellite,Getchell mine,1,"For the mine, Nevada, where it was discovered"
Geyerite,Geyer,3,
Giessenite,Giessen,3,
Giftgrubeite,"Giftgrube mine, St Jacques vein, Rauenthal, Sainte Marie-aux-Mines, Haut-Rhin",1,
Gilalite,Gila Co.,1,"For the locality at Arizona, where it was found."
Gilpinite,Gilpin Co.,3,
Giorgiosite,Giorgios,1,A cone formed during the volcanic eruption of 1866 on Thera Island.
Girvasite,Lake Girvas,1,"Northwest of the Kovdor massif, Kola Peninsula"
Gladite,Gladhammar,3,For the original locality
Glendonite,Glendon,3,"Originally reported from Glendon, NSW, Australia."
Gobbinsite,The Gobbins,1,
Goldfieldite,Goldfield,1,
Goldquarryite,Gold Quarry Mine,1,
Goongarrite,Goongarrie,1,"After the locality at Lake Goongarrie, Comet Vale Township, Western Australia, Australia."
Goosecreekite,Goose Creek quarry,1,For the initially described occurrence
Gordaite,Sierra Gorda District,2,
Gortdrumite,Gortdrum deposit,1,
Goshenite,Goshen,3,From the locality where it was first found.
Goslarite,Goslar,3,
Gottlobite,Glücksstern Mine,1,
Goyazite,Goiás [Goyaz] State,2,
Graftonite,Grafton,3,For its first-noted occurrence
Grandaite,la Granda,2,"For the informal appellation of the Province where the Valletta mine is located - called 'la Granda' (the Big One) for its considerable areal extent, one of the biggest in Italy."
Grandreefite,Grand Reef mine,1,
Grandviewite,Grand View Mine,1,
Grantsite,Grants,3,For the town near which it was first discovered.
Gravegliaite,Val Graveglia,3,
Greenlizardite,Green Lizard Mine,1,"Mine at Red Canyon, White Canyon District, San Juan Co., Utah, USA"
Greifensteinite,Greifenstein Rocks,1,
Greinerite,Greiner Mountain,1,From the locality where it was first found.
Grenmarite,Grenmar,2,"For the locality at Vesle Arøya, Langesundsfjorden, Larvik, Vestfold, Norway (Grenmar is the Norse name for Langesundsfjord). Grenmarite was found by the late Norwegian collector Tom Engvoldsen (1957-2015) in 1989, and first described by Bellezza et al. (2004). It was designated as UK-9 by Andersen et al. (1996)."
Grimselite,Grimsel region,2,"For the region, which produced the first specimens."
Grischunite,Grischun (Grisons; Graubünden) region,2,For the region in which the type locality is situated.
Grootfonteinite,Grootfontein District,2,
Grumantite,Spitsbergen Archipelago,2,From an old Russian name for the Spitsbergen Archipelago.
Guadalcazarite,Guadalcázar,3,
Guadarramite,Sierra de Guadarrama,1,"After the locality, the Sierra de Guadarrama, Castile, Spain."
Guanacoite,"El Guanaco Mine, Guanaco (Huanaco), Santa Catalina, Antofagasta Province, Antofagasta Region",1,
Guanajuatite,Guanajuato,3,"Santa Catarina Mine, Rancho Calvillo, Santa Rosa, Sierra de Santa Rosa, Mun. de Guanajuato"
Gudmundite,Gudmundstorp,1,
Gugiaite,Gujia village,3,
Gupeiite,Gupeikou,1,For an eastern passageway of the Great Wall of China.
Gurhofian,Gurhof,1,"The originally reported ""gurhofian"" from Gurhof, Aggsbach Dorf, Dunkelstein forest, Lower Austria, Austria, was subsequently recognised to be a microcrystalline form of dolomite, initially believed as to consist of a gel."
Gurimite,"Gurim anticline, Hatrurim Formation, Negev",1,
Guyanaite,Guyana,4,
Gwihabaite,"Gcwihaba Cave, Ngamiland West District, North-West District",1,Drotsky's Caverns
Hagendorfite,Hagendorf,1,
Haigerachite,Haigerach valley,3,"Silberbrünnle Mine, Gengenbach, Black Forest, Baden-Württemberg"
Hainite,"Hohe Hain Mtn, Jizerské Mtn (Iser Mtn), Liberec Region, Bohemia (Böhmen; Boehmen)",1,
Haiweeite,"Haiwee Reservoir, California",3,
Halamishite,"Halamish wadi, Hatrurim Formation, Negev",1,
Hammarite,"Gladhammar Mines, Västervik, Småland",1,
Hanjiangite,Hanjiang River,2,"After the river, that flows through the Shiti ore district and is the largest branch of the Yangtze River, China."
Hannebachite,Hannebacher Ley volcano,1,
Hardystonite,"Hardyston Township, Sussex County, New Jersey",1,For Hardyston Township in which Franklin is situated.
Harmunite,Mt. Harmun,1,"For the mountain, from where the first specimens were collected."
Harrisite,Harris Bay,1,Harrisite was named by Harker (1908) after rocks around Harris Bay
Harstigite,Harstigen mine,1,
Hartite,Hart,3,"Lignite mines, Enzenreith, Industrieviertel, Lower Austria"
Hashemite,the Hashemite Kingdom,2,
Hastingsite,Hastings County,2,"Dungannon Township, Ontario"
Hatrurite,Hatrurim Formation,1,
Hawaiite,Hawaii,1,It was first used as a name for some lavas found on the island of Hawaii
Haydeeite,Haydee mine,1,"For the mine, where the first specimens were collected."
Haytorite,Haytor Mine,1,"Originally described from Haytor Mine, Ilsington, Ilsington & Ashburton Area, Dartmoor & Teign Valley District, Devon, England, UK."
Heazlewoodite,Heazlewood,3,
Hebronite,Hebron,3,After the locality
Hechtsbergite,Hechtsberg quarry,1,"For the quarry, source of the first specimens."
Hectorite,Hector,1,
Hedleyite,Hedley,3,
Heftetjernite,Heftetjern pegmatite,1,For the locality that produced the first specimens
Heklaite,Hekla volcano,1,"For the volcano, where the first specimens were collected."
Helenite (of Nawratil),Mt St Helens,1,
Hemloite,Hemlo deposit,1,"For the deposit, Ontario, where it occurs."
Hemusite,Balkan Mountains,1,"After an ancient name for the Balkan Mountains, on the southern slope of which the Chelopech deposit occurs; probably of Thracian origin."
Herbeckite,Hrbek Mine,1,"Originally described from Hrbek Mine, Svatá Dobrotivá (St Benigna), Beroun (Beraun), Central Bohemia Region, Bohemia (Böhmen; Boehmen), Czech Republic"
Hercynite,Silva Hercynia,1,"From the Latin, Silva Hercynia, for the Bohemian Forest, Czech Republic, where the mineral was first found."
Herkimer Diamond,Herkimer,3,"Herkimer diamonds are double-terminated quartz crystals discovered within exposed outcrops of dolostone in and around Herkimer County, New York and the Mohawk River Valley. The ""diamond"" in their name is due to both their clarity and natural faceting - crystals possess double termination points and 18 total faces (six on each point, six around the center)."
Hetian Jade,Hetian,3,"Named for the occurrences in Hetian County (Hotan County), Xinjiang Province, China."
Heubachite,Heubach Valley,3,"First described from Anton Mine, Heubach Valley, Wittichen, Schenkenzell, Black Forest, Baden-Württemberg, Germany"
Hibbingite,Hibbing,3,Minnesota
Hidalgoite,Hidalgo,2,
Higginsite,Higgins Mine,1,"After the Higgins Mine, Bisbee, Arizona, USA"
Hilairite,"Mont Saint-Hilaire, Quebec",3,
Hilarionite,"Hilarion mine, Lavrion, Attica",1,
Hillesheimite,"Hillesheim, Eifel, Rhineland-Palatinate",3,
Hingganite,Greater Hinggan (Khingan) Mts,1,
Hinsdalite,"Hinsdale Co., Colorado",2,
Hitachiite,Hitachi mine,1,"Fudotaki deposit, Hitachi mine, Hitachi-machi, Taga-gun, Ibaraki Prefecture, Kanto region, Honshu Island, Japan"
Hizenite-(Y),Hizeň,1,the historic name (between the 7th and 16th centuries) for the locality that produced the first specimens and a suffix for the dominant rare earth element.
Hochelagaite,Hochelaga,3,"an early name for Montreal, Canada and its surrounds, within which the mineral occurs."
Hodrušite,Banská Hodruša,3,
Høgtuvaite,Høgtuva Mountain,3,
Högtveitite,Høgtveit,1,"Pegmatite field at Høgtveit, Evje, Aust-Agder, Norway"
Hokoite,Hohkoh mine,1,"Originally described from Hohkoh mine (Hoko mine), Hiroshima prefecture, Chugoku region, Honshu Island, Japan"
Hokutolite,Hokuto springs,1,Named after the japanese name of a hot spring in Taiwan.
Holmbushite,Holmbush mine,1,
Hongheite,Honghe Autonomous Prefecture,3,"Bai Shanchong granite, Malage ore field, Gejiu Sn-polymetallic ore field, Gejiu Co., Honghe Autonomous Prefecture, Yunnan Province, China"
Hongquiite,Hongqi,2,"Originally described from Tao District, Hongqi, Luanping Co., Chengde Prefecture, Hebei Province, China."
Hongshiite,Hongshi village,3,
Horobetsuite,Horobetsu sulfur mine,1,From the type locality
Horomanite,Horoman,1,For the ultramafic massif (Horoman) from which the first specimens were collected.
Hotsonite,Hotson 42,1,the farm in South Africa on which the first specimens were collected.
Hsianghualite,Hsianghualing mine,1,
Hsihutsunite,Xihucun,1,From the type locality
Huanghoite-(Ce),Huang Ho,3,"For the Huang Ho (Yellow River), China, 150 km south of the Bayan Obo deposit, China, where the first specimens were collected."
Huantajayite,Huantajaya district,2,
Huanzalaite,Huanzala mine,1,
Hubeite,Hubei Province,2,
Huemulite,"Huemul Mine, Mendoza Province",1,
Hühnerkobelite,Hühnerkobel,1,Bavaria
Hummerite,"Hummer mine, Colorado",1,
Hunchunite,Hunchun River,1,For its occurrence along the river
Hundholmenite-(Y),"Hundholmen, Tysfjord, Nordland County",1,
Hungarian Opal,Hungary,4,An old name applied to any opal from Europe.
Hureaulite,village of Hureaux,3,
Hyttsjöite,Hytssjon lake,1,
Iceland Spar,Iceland,4,After the original locality in Iceland.
Ichnusaite,Sardinia,2,"The name is from the old Greek name of Sardinia, Ιχνουσσα, ichnusa."
Idaite,Ida mine,1,
Idrialite,Idrija (Idria) mine,1,For the mine from which the first specimens were collected.
Igdloite,Igdlunguaq,1,
Ikaite,Ika Fjord,3,"For the Fjord, Greenland, where the first specimens were collected."
Ikunolite,Ikuno mine,1,"For the mine, where it was first found."
Ilímaussite-(Ce),Ilimaussaq complex,2,
Ilirneyite,Ilirney ore district,1,"Sentyabr’skoe deposit (Ilirney ore district), Chukotskii Autonomous Okrug, Far-Eastern Region, Russia"
Illite,Illinois,2,"One of the co-type localities, in Illinois, USA."
Ilmajokite-(Ce),Il'majok River,3,
Ilmenite,Il'men Mountains,1,For the early-noted occurrence
Ilvaite,Ilva,3,"From the Latin name, Ilva, for the Island of Elba, on which it was first found."
Imandrite,Lake Imandra,3,For lake on the Kola Peninsula
Imatra Stone,Imatra,1,
Imiterite,Imiter mine,1,
Impsonite,Impson Valley,3,"The term was coined by George Homans Eldridge in 1901, referring to the asphaltic material in the Impson Valley in southeastern Oklahoma, later known as the Jumbo mine."
Inaglyite,Inaglyi massif,3,
Inderborite,Inder deposit,1,"For the locality that produced the first specimens, the Inder deposit, and boron, an essential chemical component."
Inderite,Inder Lake,3,
Indialite,India,4,
Indian jade,India,4,Derived from the locality of occurrence
Indigirite,Indigirka River,3,
Indochinite,Indochina,3,"Named after the region of occurrence - the former French colonies of Indochina (Vietnam, Laos, Cambodia) plus Thailand and southern China."
Ingodite,Ingoda deposit,1,
Innelite,Inneli,3,"From the Yakut name, Inneli, for the Inagli River, Yakutia"
Innsbruckite,Innsbruck,3,
Insizwaite,Insizwa deposit,1,
Inyoite,"Inyo Co., California",3,
Iowaite,Iowa,2,
Iquiqueite,Iquique,1,a major historic port for nitrate exports from Tarapacá.
Iranite,Iran,4,
Iraqite-(La),Iraq,4,"For the country of origin, Iraq, and lanthanum in the composition."
Irghizite,Irghiz River,1,"From the source location, around the area of the River Irghiz."
Irhtemite,Irhtem (Ightem) mine,1,
Irnimite,Ir and Nimi rivers,1,"According to locality in interfluve of Ir and Nimi rivers in Khabarovskii krai, Russia."
Irtyshite,Irtysh River,3,
Iseite,Ise City,3,
Iserine,Iser,1,"After the locality Jizerská meadow (Iser meadow), Jizerské Mts (Iser Mts), Liberec Region, Bohemia, Czech Republic."
Iserite (of Janovsky),Iser,1,"After the locality Jizerská meadow (Iser meadow), Jizerské Mts (Iser Mts), Liberec Region, Bohemia, Czech Republic."
Ishikawaite,Ishikawa district,3,
Ishkildite,Ishkyldino,1,"Russian ishkil'dit, from Ishkyldino, Middle Volga district, U.S.S.R., its locality"
Isokite,Isoka,3,
Isovite,Is river,3,
Itoigawaite,Itoigawa City,3,
Itsiite,Itsi Mountain Range,3,"For the Itsi Mountain Range, which gets its name from the language of the Kaska, a First Nations people of the area ('itsi' means 'wind')."
Ivorite,Ivory Coast,1,
Iwakiite,Iwaki city,3,
Iwashiroite-(Y),Iwashiro,3,"From Iwashiro, the old provincial name for the central part of Fukushima Prefecture, and the dominant rare earth element, Yittrium."
Iwateite,Iwate,3,For the Japanese Prefecture that contains the locality that produced the first specimens.
Iyoite,Sea of Iyo,3,located near the Sadamisaki Peninsula
Izoklakeite,Izok Lake,3,
Jáchymovite,Jáchymov,1,"For the uranium deposit at, where the specimen was collected."
Jacinto de Compostela Quartz,Santiago de Compostela,1,"Named after pilgrims traveling to Santiago de Compostela, who carried it from other parts of Spain and used it as a kind of talisman, although the mineral does NOT occur in Santiago de Compostela itself."
Jacobsite,Jakobsberg mine,1,formerly Jacobsberg
Jadarite,Jadar Basin,1,
Jagüéite,Jagüé,3,"the village of Jagüé, which is the closest settlement to El Chire, the mine where the mineral was discovered."
Jaipurite,"Jaipur Division, Rajasthan (Rajputana)",2,
Jalpaite,Jalpa,3,
Janggunite,Janggun mine,1,
Jarandolite,Jarandol basin,3,
Jarosite,Barranco del Jaroso,1,
Jasrouxite,Jas Roux,1,
Jaulingite,Jauling,1,"Originally reported from Jauling, St Veit an der Triesting, Bad Vöslau, Lower Austria, Austria."
Javorieite,Javorie stratovolcano,3,Javorie stratovolcano hosts most porphyry gold systems in Central Slovakian volcanic field
Jeffreyite,Jerrey mine,1,
Jeromite,Jerome,3,
Jet,Jaiet,3,"The English noun ""jet"" derives from the French word for the same material, jaiet (modern French jais), ultimately referring to the ancient town of Gagae"
Jianshuiite,Jianshui Co.,3,
Jinshajiangite,Jinshajiang River,1,
Jixianite,Jixian,3,
Joaquinite,Joaquin Ridge,1,For the original locality at the Gem mine
Johachidolite,Johachido district,2,"For the district, which produced the first specimens."
Jôkokuite,Johkoku mine (Jôkoku mine; Jokoku mine),1,
Joséite,San José,3,
Josephinite,Josephine,3,"Taken from Josephine County, Oregon, USA"
Joteite,Jote mine,1,
Juabite,Juab Co.,2,
Juanite,San Juan Mountains,3,"For the Mountains, where the mineral was discovered."
Junoite,Juno mine,1,"For the mine, where it was first found."
Juonniite,Finnish name (Juonni),1,"From the Finnish name (Juonni) for the Yona River, in allusion to the locality of first occurrence of the species."
Kaatialaite,Kaatiala pegmatite,1,"For the pegmatite, in which it was first found."
Kadyrelite,Kadyrel deposit,1,"For the deposit, where it occurs."
Kaersutite,Qaersut (formerly Kaersut),3,"For the occurrence near Qaersut (formerly Kaersut), Greenland."
Kahlenbergite,Kahlenbergite occurrence,1,"Har Parsa (Mt. Parsa), Hatrurim (Hatrurim Basin), Hatrurim Formation, Negev, Israel"
Kaiyuhite,Kaiyuh Hills,1,"Kaiyuh Hills, Ruby (Near), Alaska, United States"
Kalgoorlieite,Kalgoorlie,1,"Kalgoorlie-Boulder is the mining town immediately adjacent to the Golden Mile Mines / Superpit, the type locality of the mineral."
Kamaishilite,Kamaishi mine,1,
Kamarezite,Kamareza mines,1,"After the locality of Kamareza, Lavrion, Greece"
Kamarizaite,Kamariza Mines (Kamareza Mines),1,
Kambaldaite,"Kambalda, Western Australia",3,
Kamchatkite,Kamchatka Peninsula,2,
Kamiokite,Kamioka mine,3,
Kamitugaite,Kamituga,3,"the mining center of Kivu, near the type locality."
Kamotoite-(Y),Kamoto mine,3,
Kanemite,Kanem,2,"After the region on the northeastern edge of Lake Chad, where the mineral was discovered."
Kaňkite,Kaňk,1,For the locality that yielded the first specimens
Kannanite,Mt Kannan,1,
Kanonaite,Kanona,3,
Kaolinite,Kauling (Gaoling) Mine,1,
Kapundaite,Kapunda,3,
Karasugite,Karasug deposit,1,
Karelianite,Karelian schist belt,1,"For the schist belt, where the mineral occurs."
Karibibite,Karibib pegmatite district,1,"For the district, where the species occurs."
Karnasurtite-(Ce),Mt. Karnasurt,1,
Kaskasite,Kaskasnyunchorr Mt.,1,"For Mount Kaskasnyunchorr, the locality that produced the first specimens, whose name is based on the word for 'juniper' - kaskas - in the Saami language of the Kola aboriginal people."
Kasoite,Kaso mine,1,"Named after the Kaso manganese mine, Japan"
Kasolite,Kasolo Hill,1,
Kavkazite,Caucasus,1,
Kawazulite,Kawazu mine,1,
Kazakhstanite,Kazakhstan,4,
Keiviite-(Yb),Keivy,1,
Kelyanite,Kelyana mine,1,"For the mine, where it was first found."
Kemmlitzite,Kemmlitz,1,For the locality of the first specimens
Kenyaite,Kenya,4,
Kerimasite,Kerimasi volcano,1,
Kernite,Kern Co.,3,
Kertschenite,Kerch,1,"For the locality - the Kerch peninsula, Ukraine."
Kesebolite-(Ce),Kesebol mine,1,"The name is for the discovery locality, the Kesebol mine, in the Åmål municipality, Västra Götaland, Sweden"
Kësterite,Këster deposit,1,
Keystoneite,Keystone mine,1,
Khaidarkanite,Khaidarkan Sb-Hg deposit,1,
Khangalasite,Upper Khangalas Creek,1,"Oimyakon ulus, Sakha Republic (Yakutia)"
Khanneshite,Khanneshin complex,1,
Kharaelakhite,Kharaelakh Plateau,1,
Khatyrkite,Khatyrka ultramafic zone,1,
Khibinskite,Khibiny massif,1,
Khmaralite,Khmara Bay,1,"For the locality, which was named in honor of Ivan Fedorovich Khmara (1936-1956), a tractor driver who perished in Antarctica."
Khorixasite,Khorixas District,2,
Khuniite,Khuni Mine,1,"Khuniite was reported as a new mineral from the Chah Khuni Mine, Anarak, Iran and named for the discovery locality"
Kiddcreekite,Kidd Creek mine,1,
Kilchoanite,Kilchoan,3,
Killalaite,Killala Bay,1,
Kimberlite,Kimberley,3,"The name is derived from Kimberley, South Africa"
Kingsgateite,Kingsgate,1,"Old 25 Pipe (Pipe No. 14), Kingsgate, Gough Co., New South Wales, Australia"
Kingsmountite,Kings Mountain,3,"Cleveland County, North Carolina"
Kintoreite,Kintore open cut,1,For the site from which the best specimens were first collected
Kipushite,Kipushi,3,
Kirkiite,Kirki mine,1,
Kitagohaite,Kitagoha river,1,"The river's name probably comes from 'kitahuha', which in the local Bantu language means 'the river that does not make noise'."
Kitkaite,Kitka River,1,"For the Kitka River, in the valley of which the mineral was found."
Kivuite,Kivu,2,"Originally reported from Kobokobo pegmatite, Lusungu River District, South Kivu, Democratic Republic of Congo (Zaïre)."
Kladnoite,Kladno Mine,1,
Klöchite,"Klöch, Styria",3,
Klyuchevskite,Klyuchevskaya group of volcanoes,2,
Knoxvillite,Knoxville,3,"Originally reported from Redington Mine, Knoxville, Napa Co., California, USA."
Koashvite,"Koashva Open Pit (Vostochnyi Mine), Koashva Mt, Kola Peninsula",1,
Kobeite-(Y),Kobe-Mura,3,presently Oyama-cho
Kobokoboite,Kobokobo,1,For the pegmatite body
Kochenite,Kochen valley,3,For the locality where it was found
Kochkarite,"Kochkar' Au Deposit, Kochkar' District",1,
Köflachite,Köflach - Voitsberg lignite deposit,1,"Originally reported from Maria Lankowitz, Köflach - Voitsberg lignite deposit, Köflach, Styria, Austria."
Kokchetavite,Kokchetav Massif,3,
Kolarite,Kolar deposit,3,
Kolosorukite,Kolosoruk,3,"Originally described from Korozluky (Kolosoruk), Most, Ústí Region, Bohemia (Böhmen; Boehmen), Czech Republic."
Kolskite,Kola Peninsula,1,"Russian kolskit, perhaps from Kolskiĭ Poluostrov Kola Peninsula, northwestern U.S.S.R"
Kolskyite,Kola Peninsula,3,Kolsky Poluostrov in Russian
Kolwezite,Kolwezi,3,
Kolymite,Kolyma River,3,
Kombatite,Kombat mine,1,
Konderite,Konder alkaline-ultrabasic massif,1,
Kongsbergite,Kongsberg,3,"Originally described from Kongsberg, Buskerud, Norway."
Konyaite,Great Konya Basin,3,
Korea-Augite,Korea,4,"Distinguised by its optical properties, from an Alkali-trachyte in Korea."
Korean jade,Korea,4,Derived from the locality of occurrence
Korkinoite,Korkino,3,"After the town of Korkino, Chelyabinsk coal basin, Urals Region, Russia."
Korshunovskite,Korshunov iron ore deposit,1,
Kottenheimite,Kottenheim,3,near Mayen and the Bellerberg volcano
Kovdorskite,Kovdor Zheleznyi Mine,1,
Krásnoite,Krásno ore district,2,Named for the district where the species was first discovered
