name,relation,note
Cobaltneustädtelite,Neustädtelite,"In allusion to its composition, containing dominant cobalt, and its relationship to Neustädtelite."
Cobaltoan Adamite,Adamite,A cobalt-bearing variety of Adamite.
Cobaltoan Austinite,Austinite,A variety of Austinite
Cobaltoan Bismuthian Tennantite,Tennantite,A variety of tennantite with a cobalt content of around one weight percent
Cobaltoan Calcite,Calcite,A variety of calcite containing Co2+ replacing Ca.
Cobaltoan Dolomite,Dolomite,A Co2+-bearing variety of dolomite.
Cobaltoan Epsomite,Epsomite,A variety of Epsomite containing up to 2.5 wt.% CoO.
Cobaltoan Ferrilotharmeyerite,Ferrilotharmeyerite,A variety of Ferrilotharmeyerite
Cobaltoan Gersdorffite,Gersdorffite,Co-bearing variety of gersdorffite
Cobaltoan Köttigite,Köttigite,A variety of köttigite coloured pale pink to pink by a minor cobalt content.
Cobaltoan Magnesian Annabergite,Annabergite,A Co2+- and Mg-bearing variety of Annabergite.
Cobaltoan Olivenite,Olivenite,A variety of Olivenite
Cobaltoan Parasymplesite,Parasymplesite,A variety of Parasymplesite
Cobaltoan Pyrite,Pyrite,A cobalt-bearing variety of pyrite.
Cobaltoan Pyrrhotite,Pyrrhotite,A cobalt-bearing variety of pyrrhotite.
Cobaltoan Rammelsbergite,Rammelsbergite,A variety of Rammelsbergite
Cobaltoan Rhodochrosite,Rhodochrosite,Co-bearing variety of Rhodochrosite
Cobaltoan Smithsonite,Smithsonite,A name for pink smithsonite previously believed to be a Co-bearing variety of Smithsonite.
Cobaltoan Talmessite,Talmessite,A cobalt-rich variety of talmessite.
Cobaltoblödite,Blödite,For the chemical composition of the M 2+ structural site and relationship to blödite.
Cobaltochrompicotite,Chrompicotite,A cobaltian variety of Chrompicotite.
Cobaltogordaite,Gordaite,It was cosidered to be a cobaltian variety of Gordaite.
Cobaltomenite,,For the content of cobalt
Cobaltpentlandite,Pentlandite,For the cobalt content and the relation with pentlandite.
Cobalttsumcorite,Tsumcorite,For the cobalt content and the relation with Tsumcorite.
Cobaltzippeite,Zippeite,For its dominant content of cobalt and relation to other zippeite group species.
Cochromite,,For cobalt and chromium in the composition.
Columbite-(Fe),Columbite,For iron and relation to Columbite
Columbite-(Mg),Columbite,"For dominant MAGNesium in the composition, and its relation to ferrocolumbite."
Columbite-(Mn),Columbite,For its dominant MANGANese content and its relation to ferroCOLUMBITE.
Coparsite,,The name recalls the mineral’s constituents: copper and arsenic.
Copper lapis,,Due to chemical composition
Copper Vermiculite,Vermiculite,A cuprian variety of Vermiculite.
Cordylite,,(Ce) due to the dominant REE being cerium.
Cordylite-(Ce),Cordylite,For its structural and chemical identity with cordylite and dominance of Ce among its rare earth elements.
Cordylite-(La),Cordylite,For its structural and chemical identity with cordylite and dominance of La among its rare earth elements.
Corundolite,Corundum,"A variety of artificial spinel rich in alumina, and its similarity to Corundum"
Corundophilite,Corundum,"Named for friend and corundum, for its association with corundum."
Costibite,,"For CObalt and antimony, STIBium, in its composition"
Cr-rich Picroilmenite,Ilmenite,"A cromium- and magnesium-rich variety of ilmenite, containing up to 8.6% Cr2O3 and up to 17.0% MgO."
Cryolithionite,Cryolite,For its similarity to CRYOlite and high LITHIum content
Cs-bearing Polylithionite,Polylithionite,A variety of Polylithionite
Cs-rich Lepidolite,Lepidolite,Cs-rich Lepidolite
Cu-djerfisherite,Djerfisherite,More or less the Cu-analogue of djerfisherite.
Cualstibite,,"From the chemical symbols of the mineral's major components, copper (CUprum), ALuminum, and antimony (STIBium)"
Cuatrocapaite-(K),,Due to the contnet of K
Cuatrocapaite-(NH4),,Due to the contnet of NH4
Cupalite,,"For the composition, copper and aluminium"
Cuprian Adamite,Adamite,A variety of Adamite containing some copper.
Cuprian Anglesite,Anglesite,A variety of anglesite containing copper; possibly a mixture.
Cuprian Austinite,Austinite,A cuprian variety of Austinite.
Cuprian Beudantite,Beudantite,A variety of Beudantite
Cuprian Boulangerite,Boulangerite,Cuprian variety of Boulangerite.
Cuprian Cadmoselite,Cadmoselite,A variety of Cadmoselite
Cuprian Cobaltaustinite,Cobaltaustinite,A variety of Cobaltaustinite
Cuprian Descloizite,Descloizite,A variety of Descloizite
Cuprian Elbaite,Elbaite,A Cu-bearing variety of elbaite.
Cuprian Fraipontite,Fraipontite,A copper-bearing variety of fraipontite.
Cuprian Gold,Gold,A variety of Gold possibly containing Cu in substitution for Au to at least 20%.
Cuprian Halloysite,Halloysite,A cupriferous variety of halloysite
Cuprian Manganoan Aphthitalite,Aphthitalite,A Cu- and Mg-rich variety.
Cuprian Mansfieldite,Mansfieldite,A copper-bearing variety of Mansfieldite.
Cuprian Melanterite,Melanterite,A variety of Melanterite
Cuprian Planerite,Planerite,A variety of Planerite
Cuprian Saponite,Saponite,A copper-bearing variety of saponite
Cuprian Scheelite,Scheelite,A Cu-bearing variety of scheelite (possibly mixture with cuprotungstite).
Cuprian Smithsonite,Smithsonite,"A misleading name for what was believed to be a copper-bearing variety of smithsonite, although in most cases it is smithsonite containing inclusions of other copper minerals."
Cuprian Vanadinite,Vanadinite,A variety of Vanadinite
Cuprian Wad,Wad,A copper-bearing variety of wad with an ill-defined composition.
Cuprian Zincian Epsomite,Epsomite,A variety of Epsomite containing copper and Zinc
Cupriferous Pyrite,Pyrite,A variety of pyrite containing some copper.
Cupro-Allophane,Allophane,A variety of Allophane containing Cu.
Cupro-iodargyrite,Iodargyrite,A silver-bearing variety of marshite that is similar to iodargyrite
Cuproapatite,Fluorapatite,Variety of Fluorapatite containing 20 wt.% CuO (possibly a mixture).
Cuproarquerite,Arquerite,A variety of Native Amalgam (Arquerite)
Cuproartinite,Artinite,Thought to be a cuprian analogue of Artinite
Cuproasbolane,Asbolane,Presently defined as a cupric variety of Asbolane
Cuproauride,,"For the composition, copper and aurum"
Cuprobinnite,Binnite,Due to the Cu content and similarity to binnite
Cuprobismutite,,"For copper, CUPRum, and BISMUTh in the composition."
Cuprocassiterite,Cassiterite,Thought to be a cuprian analogue of cassiterite
Cuprocopiapite,Copiapite,As the cuprian member of the copiapite group.
Cuprodescloizite,Descloizite,For the copper bearing relationship to descloizite
Cuprofaustite,Faustite,A Cu-bearing faustite (turquoise group).
Cuprogoslarite,Goslarite,A copper-bearing variety of goslarite.
Cuproiridsite,,"For copper, CUPRum, IRIDium, and Sulfur in the chemical composition"
Cuprokalininite,Kalininite,"For its essential copper content and structural identity with kalininite, ZnCr2S4."
Cuprokirovite,Kirovite,Due to the Cu content and similarity to kirovite
Cuprolillianite,Lillianite,A Cu-bearing variety of lillianite.
Cupromakopavonite,Pavonite,Named for its chemical relationship to pavonite
Cupromakovickyite,Makovickyite,For its essential copper content and relationship to makovickyite
Cupromatildite,Matildite,A variety of Matildite
Cupromolybdite,Cuprotungstite,"For its chemical composition. The name also reflects the stoichiometric relationship with cuprotungstite, Cu3(OH)2(WO4)2."
Cuproneyite,Neyite,For the mineral neyite and its copper content
Cupropavonite,Pavonite,"For its copper, cuprum, content, and to stress a similarity with pavonite."
Cupropearceite,Pearceite,"For its copper, cuprum, content and relationship to pearceite"
Cupropolybasite,Polybasite,For the mineral polybasite and its copper content
Cuprorhodsite,,"For copper, CUPRum, RHODium, and Sulfur in the chemical composition"
Cuprorivaite,Rivaite,For a high copper content and presumed similarity to rivaite
Cuproroméite,Roméite,Named for the chemical relation to roméite.
Cuprospinel,Spinel,"For the mineral's copper, CUPRum, content and having the spinel structure"
Cuprostibite,,"For copper, CUPRum, and antimony, STIBium, in the composition."
Cuprotungstite,,"For copper, cuprum and tungsten in the composition."
Cuprozippeite,Zippeite,A variety of Zippeite
Cuzticite,,cuztic
D'ansite-(Fe),D'ansite,As the iron (Fe)-dominant analog of d'ansite
D'ansite-(Mn),D'ansite,As the manganese (Mn)-dominant analog of d'ansite
Dachiardite-Ca,Dachiardite,For the Ca-dominant member of the dachiardite series
Dachiardite-K,Dachiardite,For the K-dominant member of the dachiardite series
Dachiardite-Na,Dachiardite,For the Na-dominant member of the dachiardite series
Davidite-(Ce),Davidite,For its relation to davidite and dominant cerium content
Davidite-(La),Davidite,For its relation to davidite and dominant La content
Davidite-(Y),Davidite,For its relation to davidite and dominant Y content
Demicheleite-(Br),Demicheleite,"Named for its relationship to demicheleite, with dominant Br"
Demicheleite-(Cl),Demicheleite,"Named for its relationship to demicheleite, with dominant Cl"
Demicheleite-(I),Demicheleite,"Named for its relationship to demicheleite, with dominant I."
Dickinsonite-(KMnNa),Dickinsonite,For its chemical composition belonging to(KMnNa) series
Dickinsonite-(KNaNa),Dickinsonite,Named after dickinsonite and site occupancy of the arrojadite-dickensonite structure.
Dickinsonite-(NaNa),Dickinsonite,Named after dickinsonite and site occupancy of the arrojadite-dickensonite structure.
Dissakisite-(Ce),Dissakisite,For its Ce content and close relationship with dissakisite
Dissakisite-(La),Dissakisite,For its La content and close relationship with dissakisite
Diversilite-(Ce),,"For the different (latin: ""diversus"") silicate groups in its structure and cerium being the dominant rare earth element in its chemical composition"
Dolomitic Calcite,Calcite,A variety of calcite containing small amounts of Mg in substitution for Ca
Domeykite-β,Domeykite,"A Cu-deficient ""domeykite"" with a few extra powder diffraction lines."
Dualite,,"In allusion to the dual taxonomic membership of the mineral, which is both a zirconosilicate and a titanosilicate"
Elbrusite-(Zr),Elbrusite,First named Elbrusite-(Zr)  was thus changed to Elbrusite.
Enneasartorite,Sartorite,As a member of sartorite group
Epidote-(Ga),Epidote,As a Ga analouge of Epidote
Epidote-(Pb),Epidote,Due to its the content of Pb and similarity to Epidote
Epidote-(Sr),Epidote,For its chemical composition as a member of the epidote group
Erionite-Ca,Erionite,For its chemical composition as a member of the erionite group
Erionite-K,Erionite,For its chemical composition as a member of the erionite group
Erionite-Na,Erionite,For its chemical composition as a member of the erionite group
Eta-bronze,,Natural bronze alloy
Eucolite-Titanite,Titanite,A variety of Yttrian Titanite with Cerium content
Faujasite-Ca,Faujasite,The Ca-dominant member of the faujasite series
Faujasite-Mg,Faujasite,The Mg-dominant member of the faujasite series
Faujasite-Na,Faujasite,The Na-dominant member of the faujasite series
Fe-bearing Olenite,Olenite,"A Fe-bearing ""variety"" of olenite."
Fe-pennantite,Pennantite,"""Pennantite"" with Fe>Mn (thus possibly chamosite)."
Femaghastingsite,Hastingsite,A Mg-bearing hastingsite.
Femolite,Molybdenite,Probably a ferrian Molybdenite or a mixture
Fenaksite,,"Named for its chemical composition (Fe, Na, K, Si)."
Ferchevkinite,Chevkinite,A ferroan chevkinite
Ferchromide,,"For the chemical composition, FERrum, iron, and CHROMium."
Fergusonite-(Ce),Fergusonite,"For its relation to fergusonite, and its dominant cerium content."
Fergusonite-(Nd),Fergusonite,"For its relation to fergusonite, and its dominant neodymium content."
Fergusonite-(Y),Fergusonite,"For its relation to fergusonite, and its dominant yttrium content."
Ferhodsite,,"For the main chemical components (Fe, Rh, S)."
Feroxyhyte,,"For the principal components, iron (FERrum), OXYgen, and HYdroxyl, in its composition."
Ferri-arrojadite-(BaNa),Arrojadite-(BaNa),As a Fe analogue of Arrojadite-(BaNa)
Ferri-barroisite,Barroisite,The barroisite group mineral
Ferri-cannilloite,Cannilloite,Defined as a an amphibole in the cannilloite group of the Calcium subgroup with Mg>Fe2+ and Fe3+>Al in the C position and with (OH) as the dominant anion in the W position
Ferri-clinoholmquistite,Clino-holmquistite,For its relationship to Clino-holmquistite
Ferri-fluoro-barroisite,Barroisite,The barroisite group mineral
Ferri-fluoro-cannilloite,Fluoro-cannilloite,Defined as a an amphibole in the cannilloite group of the Calcium subgroup with Mg>Fe2+ and Fe3+>Al in the C position and with F as the dominant anion in the W position
Ferri-fluoro-katophorite,Katophorite,"Na, Mg, Fe, F dominant kataphorite"
Ferri-fluoro-leakeite,Leakeite,"Na, Mg, Fe, F dominant leakeite"
Ferri-fluoro-nybøite,Fluoro-nybøite,The nybøite group mineral
Ferri-fluoro-pedrizite,Fluoro-pedrizite,The pedrizite group mineral
Ferri-fluoro-sadanagaite,Fluoro-sadanagaite,The sadanagaite group mineral
Ferri-fluoro-taramite,Fluoro-taramite,The taramite group mineral
Ferri-fluoro-tschermakite,Fluoro-tschermakite,Ferri-fluoro-tschermakite is defined as a tschermakite group member with the following dominant elements:  C position: Mg as the dominant divalent cation and Fe as the dominant trivalent cation. W position: F as the dominant anion
Ferri-gehlenite,Gehlenite,As a Fe analogue of Gehlenite
Ferri-ghoseite,Ghoseite,"Mg, Fe, OH dominant ghoesite"
Ferri-holmquistite,Holmquistite,The holmquistite group mineral
Ferri-hydroxykeramohalite,Keramohalite,A ferrian variety of Keramohalite
Ferri-kaersutite,Kaersutite,"For an amphibole with sodium and calcium dominant in the A and B sites respectively, ferric iron in the C site and O 2-"
Ferri-katophorite,Katophorite,"Na, Mg, Fe, OH dominant kataphorite"
Ferri-leakeite,Leakeite,"Na, Mg, Fe, OH dominant leakeite"
Ferri-magnesiokatophorite,Katophorite,As Fe and Mg analogue of katophorite
Ferri-magnesiotaramite,Taramite,As Fe and Mg analogue of taramite
Ferri-mottanaite-(Ce),Mottanaite-(Ce),As a Fe analogue of Mottanaite-(Ce)
Ferri-nybøite,Nybøite,The nybøite group mineral
Ferri-obertiite,Obertiite,Ferri-obertiite is a obertiite root name amphibole in the WO2- dominant amphibole group with Mg as the dominant element in the C2+ position and Fe3+ as the dominant element in the C3+position.
Ferri-ottoliniite,,Due to its Fe content
Ferri-pedrizite,Pedrizite,"Na, Mg, Fe, OH dominant pedrizite"
Ferri-sadanagaite,Sadanagaite,The sadanagaite group mineral
Ferri-taramite,Taramite,The taramite group mineral
Ferri-tschermakite,Tschermakite,Ferri-tschermakite is defined as a tschermakite group member with the following dominant elements: C position: Mg as the dominant divalent cation and Fe as the dominant trivalent cation. W position: (OH) as the dominant anion
Ferri-winchite,Winchite,As the Fe 3+ analog of winchite.
Ferriakasakaite-(Ce),Ferriakasakaite,Ce-analog of ferriakasakaite
Ferriallanite-(Ce),Allanite-(Ce),Named for the relation to allanite-(Ce).
Ferriallanite-(La),Ferriallanite-(Ce),La-dominant analogue of ferriallanite-(Ce)
Ferriallophane,Allophane,A ferrian Allophane.
Ferrian Chromite,Chromite,A variety of Chromite
Ferrian Garnierite,Garnierite,A variety of Garnierite
Ferrian Halloysite,Halloysite,An Fe-rich variety of halloysite.
Ferrian Ilmenite,Ilmenite,Ilmenite containing up to 33% Fe2O3 in solid-solution in the rhombohedral series Fe2O3-FeTiO3.
Ferrian Shafranovskite,Shafranovskite,Iron-rich variety of Shafranovskite
Ferrian Variscite,Variscite,An iron-bearing variety of variscite.
Ferrian Wad,Wad,An iron-bearing wad.
Ferriandrosite-(Ce),Ferriandrosite Root,As a Ce Ferriandrosite.
Ferriandrosite-(La),Androsite Root,Ferriandrosite-(La) is the M1Fe3+ analogue of androsite.
Ferribushmakinite,Bushmakinite,Signifies the Fe 3+ analog of bushmakinite.
Ferrichromite,Chromite,A variety of Chromite
Ferricopiapite,Copiapite Group,For the ferric iron member of the copiapite group.
Ferricoronadite,Coronadite,Fe3+ analogue of coronadite
Ferridiopside,Diopside,Fe-rich Diopside
Ferrierite-K,Ferrierite,The K-dominant member of the ferrierite series.
Ferrierite-Mg,Ferrierite,The Mg-dominant member of the ferrierite series.
Ferrierite-Na,Ferrierite,The Na-dominant member of the ferrierite series.
Ferrierite-NH4,Ferrierite,The NH4-dominant member of the ferrierite series.
Ferrihalloysite-Garnierite,Garnierite,A variety of Garnierite
Ferrihollandite,Hollandite,Ferric iron analogue of hollandite.
Ferrihydrite,,"For FERRIc iron in its composition, and a HYDRated mineral."
Ferrilotharmeyerite,Lotharmeyerite,As the ferric iron analog of lotharmeyerite.
Ferrimolybdite,,"For the essential chemical components, FERRIc iron and MOLYBDate anionic group."
Ferrimuscovite,Muscovite,A variety of Muscovite
Ferrinatrite,,"For the essential chemical components, FERRIc iron and sodium, NATRium."
Ferriperbøeite-(Ce),Perbøeite Root,As the Fe-analogue of perbøeite with Ce in the composition
Ferriperbøeite-(La),Perbøeite Root,As the Fe-analogue of perbøeite with La in the composition
Ferripyrophyllite,Pyrophyllite,Presumably for its FERRIc iron content and relation to pyrophyllite.
Ferrirockbridgeite,Ferrorockbridgeite,Fe3+-vacancy-analogue of ferrorockbridgeite.
Ferrisanidine,Sanidine,Analogue of sanidine bearing Fe3+ instead of Al
Ferrisepiolite,Sepiolite,As the Fe 3+ -dominant analog of sepiolite.
Ferrisicklerite,Sicklerite,For its dominant ferric iron content and relation to sicklerite.
Ferristilpnomelane,Stilpnomelane,"For a slightly ferrian stilpnomelane, but sometimes mistaken as an attempt to rename ferric-dominant stilpnomelane (chalcodite)."
Ferristrunzite,Strunzite,For ferric iron in the composition and its relation to strunzite.
Ferrisurite,Surite,For a predominance of Fe3+ over Al and its relation to surite.
Ferrisymplesite,Symplesite,For its ferric iron content and supposed relation to symplesite.
Ferrithorite,Thorite,An iron(III)-rich variety of Thorite.
Ferritungstite,,For FERRIc iron and TUNGsten in its composition.
Ferrivauxite,Vauxite,Emphasizes that the mineral is an oxidized equivalent (ferric analog) of vauxite.
Ferriwhittakerite,,Due to its Fe content
Ferro-actinolite,Actinolite,For ferrous iron in its composition and similarity to actinolite.
Ferro-anthophyllite,Anthophyllite,For ferrous iron in its composition and similarity to anthophyllite.
Ferro-barroisite,Barroisite,For ferroan iron in its composition and similarity to barroisite.
Ferro-cannilloite,Cannilloite,Defined as a an amphibole in the cannilloite group of the Calcium subgroup with Fe2++>Mg and Al>Fe3+ in the C position and with (OH) as the dominant anion in the W position
Ferro-chloro-pargasite,Pargasite,"Ferro-chloro-pargasite is defined as a pargasite group member with the following dominant elements: A position: Na, C position: Fe as the dominant divalent cation and Al as the dominant trivalent cation, W position: Cl as the dominant anion"
Ferro-eckermannite,Eckermannite,For its relationship to eckermannite.
Ferro-edenite,Edenite,For its high ferrous iron content and relation to edenite.
Ferro-ferri-barroisite,Ferri-barroisite,The barroisite group mineral
Ferro-ferri-cannilloite,Ferri-cannilloite,Defined as a an amphibole in the cannilloite group of the Calcium subgroup with Fe2+>Mg and Fe3+>Al in the C position and with (OH) as the dominant anion in the W position
Ferro-ferri-fluoro-barroisite,Fluoro-barroisite,The barroisite group mineral
Ferro-ferri-fluoro-cannilloite,Ferri-fluoro-cannilloite,Defined as a an amphibole in the cannilloite group of the Calcium subgroup with Fe2+>Mg and Fe3+>Al in the C position and with F as the dominant anion in the W position
Ferro-ferri-fluoro-hornblende,Hornblende,Defined as a an amphibole in the magnesio-hornblende group of the Calcium subgroup with Fe2+>Mg and Fe3+>Al in the C position and with F as the dominant anion in the W position
Ferro-ferri-fluoro-katophorite,Ferri-fluoro-katophorite,The katophorite group mineral
Ferro-ferri-fluoro-leakeite,Leakeite,For its high fluor and ferrous and ferric iron content and relation to leakeite.
Ferro-ferri-fluoro-nybøite,Ferri-fluoro-nybøite,The nybøite group mineral
Ferro-ferri-fluoro-pedrizite,Ferri-fluoro-pedrizite,The pedrizite group mineral
Ferro-ferri-fluoro-sadanagaite,Ferri-fluoro-sadanagaite,The sadanagaite group mineral
Ferro-ferri-fluoro-taramite,Ferri-fluoro-taramite,The taramite group mineral
Ferro-ferri-fluoro-tschermakite,Ferri-fluoro-tschermakite,Ferro-ferri-fluoro-tschermakite is defined as a tschermakite group member with the following dominant elements:  C position: Fe as both the dominant divalent cation and trivalent cation. W position: F as the dominant anion
Ferro-ferri-holmquistite,Ferri-holmquistite,The holmquistite group mineral
Ferro-ferri-hornblende,Hornblende,Signifies an amphibole in the compositional range of hornblende with essential Fe 2+ > Fe
Ferro-ferri-katophorite,Katophorite,The Fe 2+ and Fe3+ dominant katophorite
Ferro-ferri-leakeite,Ferri-leakeite,The Leakeite group mineral
Ferro-ferri-nybøite,Nybøite,Signifies an amphibole in the compositional range of nyboite with a dominance of Fe 2+ and Fe3+
Ferro-ferri-obertiite,Obertiite,To conform to IMA nomenclature for a ferrous (ferro)-dominant analog of Obertiite.
Ferro-ferri-pedrizite,Pedrizite,The Fe 2+ and Fe3+ dominant pedrizite
Ferro-ferri-sadanagaite,Ferri-sadanagaite,The sadanagaite-group mineral
Ferro-ferri-taramite,Ferri-taramite,The taramite group mineral
Ferro-ferri-tschermakite,Ferri-tschermakite,Ferro-ferri-tschermakite is defined as a tschermakite group member with the following dominant elements:  C position: Fe as both the dominant divalent cation and trivalent cation. W position: (OH) as the dominant anion
Ferro-ferri-winchite,Ferri-winchite,The winchite-group mineral
Ferro-fluoro-actinolite,Actinolite,As a member of Tremolite-Actinolite Series Group
Ferro-fluoro-barroisite,Fluoro-barroisite,The barroisite group mineral
Ferro-fluoro-cannilloite,Fluoro-cannilloite,Defined as a an amphibole in the cannilloite group of the Calcium subgroup with Fe2+>Mg and Al>Fe3+ in the C position and with F as the dominant anion in the W position
Ferro-fluoro-eckermannite,Eckermannite,The eckermannite group mineral
Ferro-fluoro-edenite,Fluoro-edenite,"The minerals in the edenite group is defined with A(Na+K+2Ca)≥0,5 apfu and C(Al+Fe3++2Ti)≤0,5 apfu and with (OH), F or Cl in the W position."
Ferro-fluoro-glaucophane,Fluoro-glaucophane,Ferro-fluoro-glaucophane is defined as a member of the glaucophane group with Fe2+>Mg in the C2+ position and F in the W position.
Ferro-fluoro-hornblende,Hornblende,Defined as a an amphibole in the magnesiohornblende group of the Calcium subgroup with Fe2+>Mg and Al>Fe3+ in the C position and with F as the dominant anion in the W position
Ferro-fluoro-katophorite,Fluoro-katophorite,The katophorite group mineral
Ferro-fluoro-leakeite,Fluoro-leakeite,The Leakeite group mineral
Ferro-fluoro-nybøite,Fluoro-nybøite,The nybøite group mineral
Ferro-fluoro-pargasite,Fluoro-pargasite,Ferro-fluoro-pargasite is defined as a pargasite group member with the following dominant elements:  A position: Na; C position: Fe as the dominant divalent cation and Al as the dominant trivalent cation. W position: F as the dominant anion
Ferro-fluoro-pedrizite,Pedrizite,For its composition and relationship to pedrizite.
Ferro-fluoro-richterite,Fluoro-richterite,The richterite group mineral
Ferro-fluoro-sadanagaite,Fluoro-sadanagaite,The sadanagaite group mineral
Ferro-fluoro-taramite,Fluoro-taramite,The taramite group mineral
Ferro-fluoro-tschermakite,Tschermakite,For ferrous iron and fluorine in its composition and relation to tschermakite
Ferro-fluoro-winchite,Fluoro-winchite,The winchite-group mineral
Ferro-gedrite,Gedrite,For ferrous iron in its composition and similarity to gedrite.
Ferro-glaucophane,Glaucophane,For its high ferrous iron content and similarity to glaucophane.
Ferro-Goslarite,Goslarite,A variety of Goslarite contains Fe'' in substitution for Zn.
Ferro-holmquistite,Holmquistite,For its high ferrous iron content and similarity to holmquistite.
Ferro-hornblende,Hornblende,For its ferrous iron content and relation to hornblende.
Ferro-kaersutite,Kaersutite,For its high ferrous iron composition and similarity to kaersutite.
Ferro-katophorite,Katophorite,The Fe 2+ and Al dominant katophorite group mineral
Ferro-leakeite,Leakeite,The Leakeite group mineral
Ferro-nybøite,Nybøite,For its relationship to Nybøite
Ferro-obertiite (of Hawthorne et al. 2010),Obertiite,As a Fe analogue of obertiite
Ferro-pargasite,Pargasite,For its high ferrous iron content and relation to pargasite.
Ferro-pedrizite,Pedrizite,As the Fe 2+ -dominant analogue of pedrizite.
Ferro-richterite,Richterite,For the ferrous iron in its composition and similarity to richterite.
Ferro-sadanagaite,Sadanagaite,The sadanagaite group mineral
Ferro-taramite,Taramite,For its dominant content of ferrous iron and relation to taramite.
Ferro-tschermakite,Tschermakite,For ferrous iron in its composition and relation to tschermakite.
Ferro-winchite,Winchite,For its relationship to winchite
Ferroalluaudite,Alluaudite,For its dominant content of ferrous iron and relation to alluaudite.
Ferroalluaudite-NaNa,Ferroalluaudite,For its chemical and structural relationship to the Alluaudite Group.
Ferroaluminoceladonite,Celadonite,"For its composition, ferro- and alumino-, and the relationship to celadonite"
Ferroamesite,Amesite,An iron-rich variety of amesite.
Ferroan Arthurite,Arthurite,A variety of Arthurite
Ferroan Boothite,Boothite,An iron-rich boothite.
Ferroan Boracite,Boracite,A variety of Boracite
Ferroan Calcite,Calcite,Ferroan Calcite
Ferroan Cobaltite,Cobaltite,A cobaltite containing some iron.
Ferroan Dolomite,Dolomite,"Fe-bearing, relatively common variety of dolomite."
Ferroan Epsomite,Epsomite,An iron-bearing variety of epsomite
Ferroan Magnesite,Magnesite,An iron-bearing variety of Magnesite.
Ferroan Phlogopite,Phlogopite,A variety of Phlogopite
Ferroan Platinum,Platinum,A variety of Platinum
Ferroan Saponite,Saponite,A variety of Saponite
Ferroan Starkeyite,Starkeyite,A variety of Starkeyite
Ferroan Zakharovite,Zakharovite,A variety of Zakharovite
Ferroaugite,Augite,Named as a ferroan Augite
Ferroaxinite,Axinite,For iron dominance in the formula
Ferrobobfergusonite,Bobfergusonite,The ferrous iron analogue of bobfergusonite.
Ferrobustamite,Bustamite,For FERROan iron in its composition and its relation to bustamite.
Ferrocarpholite,Carpholite,The FERROus iron analogue of carpholite.
Ferroceladonite,Celadonite,For its composition as the ferrou- analog of celedonite
Ferrochiavennite,Chiavennite,As the iron (ferro) analog of chiavennite.
Ferroefremovite,Efremovite,Fe analogue of efremovite
Ferroericssonite,Ericssonite,As the Fe 2+ analogue of ericssonite.
Ferrohagendorfite,Hagendorfite,For being the iron analogue of hagendorfite.
Ferrohexahydrite,Hexahydrite,The iron analogue of hexahydrite
Ferroindialite,Indialite,As the iron-dominant (ferro) analog of indialite.
Ferrokentbrooksite,Kentbrooksite,Named as the Fe-analogue of kentbrooksite
Ferrokësterite,Kësterite,"For its content of iron, ferrum, and relation to kësterite."
Ferrokinoshitalite,Kinoshitalite,The name reflects the mineral’s iron content and its relationship to Kinoshitalite
Ferrolaueite,Laueite,The ferrous analog of laueite
Ferromerrillite,Merrillite,The Fe 2+ -dominant analogue of merrillite.
Ferronickelplatinum,,"For iron, FERRum, NICKEL, and PLATINUM in the composition."
Ferronordite-(Ce),Ferronordite Root,Named as the Fe2+ dominant analogue of nordite-(Ce)
Ferronordite-(La),Ferronordite Root,For the association with Ferronordite-(Ce)
Ferropericlase,Periclase,A Fe(II)-bearing variety of periclase
Ferropickeringite,Pickeringite,An iron-rich variety of pickeringite.
Ferropicotite,Spinel,A ferroan variety of spinel.
Ferropseudobrookite,Pseudobrookite,Due to its Fe content and similarity to
Ferroqingheiite,Qingheiite,Indicates the Fe 2+ -equivalent of qingheiite.
Ferrorhodonite,Rhodonite,Named after its relation to rhodonite and Fe 2+ content.
Ferrorhodsite,Cuprorhodsite,For it's composition and relationship to cuprorhodsite.
Ferrorockbridgeite,Rockbridgeite,For being the iron analogue of rockbridgeite.
Ferrorosemaryite,Rosemaryite,As the Fe 2+ analog of rosemaryite.
Ferrosalite,Salite,A variety of Hedenbergite that was considered as a ferroan variety of Salite
Ferrosaponite,Saponite,Named as the Fe2+ dominant analog of saponite.
Ferroschallerite,Schallerite,Fe analogue of schallerite
Ferroselite,,"For iron, FERrum, and SELenium in the composition."
Ferrosilite,,For FERROus iron and SILicon in the composition; originally a normative mineral in rocks.
Ferroskutterudite,Skutterudite,For the high iron content and relation to skutterudite.
Ferrostalderite,Stalderite,The iron analogue of stalderite.
Ferrostrunzite,Strunzite,For its dominant content of ferrous iron and relation to strunzite.
Ferrotellurite,,For FERROus iron and TELLURium in the composition
Ferrotitanowodginite,Wodginite,The name reflects its composition and relationship to wodginite.
Ferrotochilinite,Tochilinite,"As the structural analogue (based on chemical, X-ray, and IR data similarities) of tochilinite with essential ferrous iron."
Ferrotychite,Tychite,For essential FERROus iron and the relation to tychite.
Ferrous freudenbergite,Freudenbergite,Freudenbergite containing Fe
Ferrovalleriite,Valleriite,"As the structural analogue (based on chemical, X-ray, and IR data similarities) of valleriite with essential ferrous iron."
Ferrovorontsovite,Vorontsovite,For being the iron analogue of vorontsovite.
Ferrowodginite,Wodginite,For its content of FERROus iron and its relation to wodginite.
