anion_id,anion_name,formula,formula_with_oxidation,variety_of,class_id,subclass_id,group_id,subgroup_id,structure_description,geometry
153,"Phyllotellurate (IV, VI)",Te^4+^_3_Te^6+^O_12_,Te^4+^_3_Te^6+^O_12_,,11,52,,,Te6+O6 octahedra and Te4+O4 disphenoids together form the new mixed-valence phyllotellurate anion [Te4+3 Te6+O12]12−),Framework
154,Tellurite,TeO_3_,Te^4+^O_3_,,11,52,,,Te is bonded to three oxygen atoms,Trigonal pyramidal
155,Phyllotellurate (spiroffite_type),Te_3_O_8_,Te^4+^_3_O_8_,,11,52,,,"The Te cations and the associated Te-O bonds form strongly bonded [Te3O12] trimers that are weakly linked via long Te-O bonds to form a ladder like chain along [001]. These ladders are shown very well 'end-on"". Between the sheets and the ladders are large tunnels approximately 3.2 x 5.5 A across. Spiroffite can thus be considered as a hetero-polyhedral framework structure with tunnels lined with TeOn polyhedra",Framework
156,Heteropolytungstate,Fe^3+^W^6+^_9_O_34_,Fe^3+^W^6+^_9_O_34_,,11,54,,,The polyanion is formed of nine WO6 octahedra with a central Fe3+O4 tetrahedron,Framework
157,Hydrogen tungstate,HWO_4_,HW^6+^O_4_,162,11,54,,,W atom is coordinated by four O atoms and one H forming a tetrahedron,Tetrahedron
158,Tungstate (W^VI^),WO_6_,W^6+^O_6_,,11,54,,,Te atom is coordinated by six O atoms forming an octahedron,Octahedron
159,Aluminate (W^VI^),AlO_6_,AlO_6_,,11,,,,Al atom is coordinated by six O atoms forming an octahedron,Octahedron
160,Titanate (W^VI^),TiO_6_,Ti^4+^O_6_,,11,,,,Ti atom is coordinated by six O atoms forming an octahedron,Octahedron
161,Ferrate,Fe^3+^O_4_,Fe^3+^O_4_,,11,,,,Fe^3+^ atom is coordinated by four O atoms forming a tetrahedron,Tetrahedron
162,Tungstate,WO_4_,W^6+^O_4_,,11,54,,,W atom is coordinated by four O atoms forming a tetrahedron,Tetrahedron
163,Hydroxyvanadate,HVO_4_,HV^5+^O_4_,165,11,55,9,,V atom is coordinated by four O atoms and one H forming a tetrahedron,Tetrahedron
164,Metavanadate,VO_3_,V^5+^O_3_,,11,55,9,,"Chains of [VO3]-, formed as corner-sharing VO4 tetrahedra",Two tetrahedra
165,Vanadate,VO_4_,V^5+^O_4_,,11,55,9,,V atom is coordinated by four O atoms forming a tetrahedron,Tetrahedron
166,"Vanadate (V^IV,5+^)",VO_5_,V^5+^O_5_,,11,55,9,,V atom is coordinated by five O atoms,Square-based pyramids
167,"Vanadate (V^IV,4+^)",V^4+^O_5_,V^4+^O_5_,,11,55,9,,V atom is coordinated by five O atoms,Square-based pyramids
168,"Hexavanadate (IV, V) (15O)","(V^4+^,V^5+^)_6_O_15_","(V^4+^,V^5+^)_6_O_15_",,11,55,13,,The structure consists of a clinolattice of VO5 square-based pyramids and VO6 octahedra. This array of V-0 polyhedra forms rectangular tunnels,Sheets
169,"Hexavanadate (IV, V) (16O)","(V^5+^,V^4+^)_6_O_16_","(V^5+^,V^4+^)_6_O_16_",,11,55,13,,"The structure consists of sheets with a chemical composition of (V6O16)n that are composed of laterally stacked alternating chains of (V2O6) and (V4O12) units. The open channels left between the sheets are occupied by the M ions and by water molecules. The average oxidation number of vanadium varies between 4.87 (grantsite) and 5.00 (barnesite and metahewettite). Thus, the compositions of some group members are seemingly non-stoichiometric",Sheets
170,"Vanadate (V^VI^,^5+^,^4+^)","(V^4+^,V^5+^)O_6_","(V^4+^,V^5+^)O_6_",171,11,55,9,,V atom is coordinated by six O atoms forming an octahedron,Octahedron
171,Vanadate (V^VI^),VO_6_,V^5+^O_6_,,11,55,9,,V atom is coordinated by six O atoms forming an octahedron,Octahedron
172,Vanadate (V^IV^),H_3_V^4+^O_6_,H_3_V^4+^O_6_,171,11,55,9,,V atom is coordinated by three O atoms and three OH groups forming an octahedron,Octahedron
173,"Divanadate chain (IV, V)","(V^5+^,V^4+^)_2_O_6_","(V^5+^,V^4+^)_2_O_6_",175,11,55,,,Consisting of alternating square pyramids,Chain
174,"Vanadate (IV, V)","(V^5+^,V^4+^)O_4_","(V^5+^,V^4+^)O_4_",165,11,55,9,,V atom is coordinated by four O atoms forming a tetrahedron,Tetrahedron
175,Divanadate chain (V),V^5+^_2_O_6_,V^5+^_2_O_6_,,11,55,,,Consisting of alternating square pyramids,Chain
176,"Tetravanadate chain (IV, V)","(V^5+^,V^4+^)_4_O_12_","(V^5+^,V^4+^)_4_O_12_",177,11,55,,,Consisting of four highly condensed single octahedral chains,Chain
177,Tetravanadate chain (V),V^5+^_4_O_12_,V^5+^_4_O_12_,,11,55,,,Consisting of four highly condensed single octahedral chains,Chain
178,Hexavanadate (V),V^5+^_6_O_16_,V^5+^_6_O_16_,,11,55,13,,"The structure consists of sheets with a chemical composition of (V6O16)n that are composed of laterally stacked alternating chains of (V2O6) and (V4O12) units. The open channels left between the sheets are occupied by the M ions and by water molecules. The average oxidation number of vanadium varies between 4.87 (grantsite) and 5.00 (barnesite and metahewettite). Thus, the compositions of some group members are seemingly non-stoichiometric",Sheets
179,"Octavanadate (IV,V)","(V^5+^,V^4+^)_8_O_20_","(V^5+^,V^4+^)_8_O_20_",,11,55,13,,"The structure consists of sheets with a chemical composition of (V8O20)n that are composed of laterally stacked chains of (V4O12) units. The open channels left between the sheets are occupied by the M ions and by water molecules. The average oxidation number of vanadium varies between 4.77 (bokite) and 4.86 (corvusite). Thus, the compositions of the group members are seemingly non-stoichiometric",Sheets
180,Trivanadate,V^4+^_3_O_7_,V^4+^_3_O_7_,,11,55,13,,it consists of layers of VO5 pyramids (with vanadium in the tetravalent state),Sheets
181,"Heptavanadate (V^4+,5+^)",V^4+^_5_V^5+^_2_O_16_,V^4+^_5_V^5+^_2_O_16_,,11,55,13,,"The layers are formed of double sheets of chains of edge-sharing VO6 octahedra; adjacent chains in (001) are linked by corner sharing at ‘‘kinks’’ in the chain. The chains in the two parallel layers are orthogonal to each other (rotated about [001]), and the two sheets that together form the V7O16 layer are linked by corner sharing of the VO4 tetrahedra.",Sheets
182,"Aluminovanadate(IV,V) polyanion",AlV^4+^_2_V^5+^_12_O_40_,AlV^4+^_2_V^5+^_12_O_40_,,11,55,19,,"The structure of aluminovanadate(IV,V) polyanions consists of 14 (VO6) octahedra condensed by edge-sharing around a central (AlO6) octahedron",Framework
183,Arsenovanadate (11-),As^3+^V^4+^_2_V^5+^_10_As^5+^_6_O_51_,As^3+^V^4+^_2_V^5+^_10_As^5+^_6_O_51_,,11,55,19,1,"heteropolyanion composed of twelve distorted V4+,5+O6 octahedra surrounding a central As3+O3 (arsenite) pyramid and decorated by peripheral As5+O4 (arsenate) tetrahedra, each of which shares three of its four vertices with VO6 octahedra",Framework
184,Arsenovanadate (12-),As^3+^V^4+^_3_V^5+^_9_As^5+^_6_O_51_,As^3+^V^4+^_3_V^5+^_9_As^5+^_6_O_51_,183,11,55,19,1,"heteropolyanion composed of twelve distorted V4+,5+O6 octahedra surrounding a central As3+O3 (arsenite) pyramid and decorated by peripheral As5+O4 (arsenate) tetrahedra, each of which shares three of its four vertices with VO6 octahedra",Framework
185,Arsenovanadate (12.5-),As^3+^V^5+^_8.5_V^4+^_3.5_As^5+^_6_O_51_,As^3+^V^5+^_8.5_V^4+^_3.5_As^5+^_6_O_51_,183,11,55,19,1,"heteropolyanion composed of twelve distorted V4+,5+O6 octahedra surrounding a central As3+O3 (arsenite) pyramid and decorated by peripheral As5+O4 (arsenate) tetrahedra, each of which shares three of its four vertices with VO6 octahedra",Framework
186,"Arsenovanadate (As^5+^,V^5+^)",As^5+^V^5+^_12_O_40_(V^5+^O),As^5+^V^5+^_12_O_40_(V^5+^O),,11,55,19,1,"heteropolyanion composed of 12 distorted VO6 octahedra, surrounding a central AsO4 (arsenate) tetrahedron and capped by a VO4 (vanadate) tetrahedron, which shares three of its four vertices with VO6 octahedra",Framework
187,Decavanadate (8-),V^4+^_2_V^5+^_8_O_28_,V^4+^_2_V^5+^_8_O_28_,189,11,55,19,2,"The decavanadate ion is an isolated group of ten condensed VO6 octahedra, six in a rectangular 2 x 3 array sharing edges, and four more, two fitted in above and two below by sharing sloping edges.",Framework
188,Decavanadate (7-),V^5+^_9_V^4+^O_28_,V^5+^_9_V^4+^O_28_,189,11,55,19,2,"The decavanadate ion is an isolated group of ten condensed VO6 octahedra, six in a rectangular 2 x 3 array sharing edges, and four more, two fitted in above and two below by sharing sloping edges.",Framework
189,Decavanadate (6-),V_10_O_28_,V^5+^_10_O_28_,,11,55,19,2,"The decavanadate ion is an isolated group of ten condensed VO6 octahedra, six in a rectangular 2 x 3 array sharing edges, and four more, two fitted in above and two below by sharing sloping edges.",Framework
190,Dihydogen phosphovanadate,H_2_PV^5+^_12_O_40_(V^5+^O)_2_,H_2_PV^5+^_12_O_40_,,11,55,19,,Heteropolyanion composed of twelve distorted V06 octahedra surrounding a central PO4 tetrahedron and capped on opposite sides by two VO5 square pyramids; the structural unit is a modification of the a-isomer of the Keggin anion.,Framework
191,Dihydrogen decavanadate (5-),H_2_V^4+^V^5+^_9_O_28_,H_2_V^4+^V^5+^_9_O_28_,189,11,55,19,2,"The decavanadate ion is an isolated group of ten condensed VO6 octahedra, six in a rectangular 2 x 3 array sharing edges, and four more, two fitted in above and two below by sharing sloping edges.",Framework
192,Dihydrogen decavanadate (4-),H_2_V^5+^_10_O_28_,H_2_V^5+^_10_O_28_,189,11,55,19,2,"The decavanadate ion is an isolated group of ten condensed VO6 octahedra, six in a rectangular 2 x 3 array sharing edges, and four more, two fitted in above and two below by sharing sloping edges.",Framework
193,Divanadate (V),V_2_O_7_,V^5+^_2_O_7_,,11,55,16,,V5+ in tetrahedral coordination with oxygen. The VO4 tetrahedra dimerize in [V2O7]4- group,"2:2T, corner-sharing"
194,Titanodecavanadate,TiV_9_O_28_,Ti^4+^V^5+^_9_O_28_,189,11,55,19,2,The decavanadate ion is an isolated group of ten condensed VO6 octahedra and TiO6 octaedron,Framework
195,Trimetavanadate,V^5+^_3_O_9_,V^5+^_3_O_9_,,11,55,22,,Structure requires re-investigation,
196,Tetravanadate framework,"(V^5+^,V^4+^)_4_O_16_","(V^5+^,V^4+^)_4_O_16_",,11,55,19,,The VO5 square pyramids link at their bases (via comer-sharing) to form [V4O16] units,Framework
197,Arsenophosphovanadate,"(V^5+^,V^4+^)_2_(P^5+^,As^5+^)O_8_","(V^5+^,V^4+^)_2_(P^5+^,As^5+^)O_8_",,11,55,19,,"The VO5 square pyramids link at their bases (via comer-sharing) to form [V4O16] units, and the remaining basal oxygens of the square pyramids interconnect to other [V4O16] units via shared vertices with [(P,As)O4] tetrahedra to form a 3-D framework possessing large interconnected channels.",Framework
198,Octahydrogen phosphovanadate,V^4+^_4_P_2_O_8_(OH)_8_,V^4+^_4_P_2_O_10_(OH)_6_,,11,55,19,3,The structure contains V44+O16 polyvanadate clusters of four edge-sharing V4+O6 octahedra. The polyvanadate clusters are linked into a three-dimensional zeolite-type framework by sharing corners with PO4 tetrahedra.,Framework
199,Tetravanadite,V^4+^_4_O_9_,V^4+^_4_O_9_,,11,55,22,,Structure requires re-investigation,
200,Vanadate (satpaevite_type),V^4+^_2_V^5+^_6_O_37_,V^4+^_2_V^5+^_6_O_37_,,11,55,22,,Structure requires re-investigation,
201,Vanadate (vanalite_type),V^5+^_10_O_38_,V^5+^_10_O_38_,,11,55,22,,Structure requires re-investigation,
202,Antimonide,Sb,Sb,,14,6,,,Single ion,Point
203,Diantimonide,Sb_2_,Sb_2_,,14,6,,,Diantimonide refers to a functional group with the structure R−Sb=Sb−R′. The linkage is similar to SS-bond.,dumbbell
204,Arsenide,As,As,,14,9,,,Single ion,Point
205,Dirsenide,As_2_,As_2_,,14,9,,,Dirsenide refers to a functional group with the structure R−As=As−R′. The linkage is similar to SS-bond.,dumbbell
206,Selenarsenite,AsSe_3_,As^3+^Se_3_,,14,38,15,,An As atom at the apex of the pyramid formed by O atoms,Pyramid
207,As-Se pair,AsSe,AsSe,,14,39,2,,As and Se are bonded together with a covalent bond,dumbbell
208,Bi-Se pair,BiSe,BiSe,,14,39,2,,Bi and Se are bonded together with a covalent bond,dumbbell
209,Sb-Se pair,SbSe,SbSe,,14,39,2,,Sb and Se are bonded together with a covalent bond,dumbbell
210,Diselenide,Se_2_,Se_2_,,14,39,14,,Diselenide refers to a functional group with the structure R−Se−Se−R′. The linkage is similar to SS-bond.,dumbbell
211,Selenide,Se,Se,,14,39,14,,Single ion,Point
212,Selenantimonite,SbSe_3_,Sb^3+^Se_3_,,14,39,15,,An Sb atom at the apex of the pyramid associated with Se atoms,Pyramid
213,Selenoantimonate,SbSe_4_,Sb^3+^Se_4_,,14,39,15,,Sb atom is coordinated by four Se atoms forming a tetrahedron,Tetrahedron
214,Selenobismuthate,BiSe_4_,BiSe_4_,,14,39,15,,Bi atom is coordinated by four Se atoms forming a tetrahedron,Tetrahedron
215,Selenobismuthite,BiSe_3_,BiSe_3_,,14,39,15,,An Bi atom at the apex of the pyramid associated with Se atoms,Pyramid
216,As-S pair,AsS,AsS,,14,46,1,,Contains the mixed (S + As) layers or isolated S and As layers,dumbbell
217,Bi-S pair,BiS,BiS,,14,46,1,,Bi and S are bonded together with a covalent bond,dumbbell
218,Sb-S pair,SbS,SbS,,14,46,1,,Sb and S are bonded together with a covalent bond,dumbbell
219,Disulfide,S_2_,S_2_,,14,46,17,,"In chemistry, a disulfide refers to a functional group with the structure R−S−S−R′. The linkage is also called an SS-bond or sometimes a disulfide bridge and is usually derived by the coupling of two thiol groups.",dumbbell
220,Pentasulphide,S_5_,S_5_,,14,46,17,,"In chemistry, pentasulphide is the functional group R-S-S-S-S-S-R.",Bent
221,Sulfide,S,S,,14,46,17,,Single ion,Point
222,Ttrisulfide,S_3_,S_3_,,14,46,17,,"In chemistry, trisulfide is the functional group R-S-S-S-R.",Bent
223,Sulfantimonate,SbS_4_,Sb^3+^S_4_,,14,46,18,,Sb atom is coordinated by four S atoms forming a tetrahedron,Tetrahedron
224,Sulfantimonite,SbS_3_,Sb^3+^S_3_,,14,46,18,,An Sb atom at the apex of the pyramid associated with S atoms,Pyramid
225,Sulfarsenate,AsS_4_,As^3+^S_4_,,14,46,18,,As atom is coordinated by four S atoms forming a tetrahedron,Tetrahedron
226,Sulfarsenite,AsS_3_,As^3+^S_3_,,14,46,18,,An As atom at the apex of the pyramid formed by S atoms,Pyramid
227,Sulfbismuthite,BiS_3_,BiS_3_,,14,46,18,,A Bi atom at the apex of the pyramid formed by S atoms,Pyramid
228,Sulftelluride,TeS_3_,TeS_3_,,14,46,18,,A Te atom at the apex of the pyramid formed by S atoms,Pyramid
229,Sulphogermanate,GeS_4_,GeS_4_,,14,46,18,,Ge atom is coordinated by four S atoms forming a tetrahedron,Tetrahedron
230,Sulphostannate,SnS_4_,Sn^4+^S_4_,,14,46,18,,Sn atom is coordinated by four S atoms forming a tetrahedron,Tetrahedron
231,Bi-Te pair,BiTe,BiTe,,14,51,3,,Bi and Te are bonded together with a covalent bond,dumbbell
232,Sb-Te pair,SbTe,SbTe,,14,51,3,,Sb and Te are bonded together with a covalent bond,dumbbell
233,Ditelluride,Te_2_,Te_2_,,14,51,,,Ditelluride refers to a functional group with the structure R−Te−Te−R′. The linkage is similar to SS-bond.,dumbbell
234,Telluride,Te,Te,,14,51,,,Single ion,Point
